player_name,name_in_home_country,date_of_birth,place_of_birth,age,height,citizenship,position,foot,player_agent,current_club,joined,contract_expires,date_of_last_contract_extension,outfitter,twitter,facebook,instagram,website,player_valuation,max_player_valuation,max_player_valuation_date,URL,query_date,tik_tok,on_loan_from,contract_there_expires,full_name,contract_option,x2nd_club
Iñaki Peña,Ignacio Peña Sotorres,1999-03-02,Alicante,24,1.84,Spain,Goalkeeper,right,INTEGRAL ADVISING ...,FC Barcelona,2022-01-30,2026-06-30,2023-05-09,Nike,http://twitter.com/IP_Sotorres1,NA,http://www.instagram.com/inakipenya/,NA,4000000,4200000,2022-03-31,https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,2023-07-29,NA,NA,NA,NA,NA,NA
Arnau Tenas,Arnau Tenas Ureña,2001-05-30,Vic,22,1.85,Spain,Goalkeeper,right,De la Peña & ...,Without Club,2023-07-01,NA,NA,NA,NA,NA,http://www.instagram.com/arnautenas/,NA,5000000,5000000,2023-07-12,https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,2023-07-29,NA,NA,NA,NA,NA,NA
Ronald Araújo,Ronald Federico Araújo da Silva,1999-03-07,Rivera,24,1.92,Uruguay Spain,Defender - Centre-Back,right,Excellence Sport,FC Barcelona,2020-10-05,2026-06-30,2022-04-29,NA,http://twitter.com/ronaldaraujo_4,NA,http://instagram.com/ronaldaraujo_4/,NA,70000000,70000000,2023-03-23,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,2023-07-29,NA,NA,NA,NA,NA,NA
Jules Koundé,Jules Olivier Kounde,1998-11-12,Paris,24,1.8,France Benin,Defender - Centre-Back,right,ESN,FC Barcelona,2022-07-28,2027-06-30,NA,Puma,http://twitter.com/jkeey4,NA,http://www.instagram.com/jkeey4/,NA,60000000,60000000,2021-03-19,https://www.transfermarkt.com/jules-kounde/profil/spieler/411975,2023-07-29,NA,NA,NA,NA,NA,NA
Andreas Christensen,Andreas Bødtker Christensen,1996-04-10,Lillerød,27,1.87,Denmark,Defender - Centre-Back,right,KIN Partners,FC Barcelona,2022-07-04,2026-06-30,NA,adidas,NA,NA,http://www.instagram.com/andreaschristensen3/,NA,40000000,40000000,2018-03-23,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,2023-07-29,NA,NA,NA,NA,NA,NA
Eric García,Eric García Martret,2001-01-09,Barcelona,22,1.82,Spain,Defender - Centre-Back,right,De la Peña & ...,FC Barcelona,2021-07-01,2026-06-30,NA,NA,NA,NA,http://www.instagram.com/ericgm3/,NA,10000000,20000000,2020-10-13,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,2023-07-29,NA,NA,NA,NA,NA,NA
Alejandro Balde,Alejandro Balde Martínez,2003-10-18,Barcelona,19,1.75,Spain,Defender - Left-Back,left,Gestifute,FC Barcelona,2022-07-01,2024-06-30,NA,Nike,NA,NA,http://www.instagram.com/alejandrobalde/,NA,50000000,50000000,2023-06-13,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,2023-07-29,NA,NA,NA,NA,NA,NA
Marcos Alonso,Marcos Alonso Mendoza,1990-12-28,Madrid,32,1.88,Spain,Defender - Left-Back,left,LIAN Sports Group,FC Barcelona,2022-09-01,2024-06-30,2023-01-27,Nike,http://twitter.com/marcosalonso03,http://www.facebook.com/marcosalonsoMA3/?fref=ts,http://www.instagram.com/marcosalonso28/,http://www.marcos-alonso.com/,5000000,45000000,2018-10-17,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,2023-07-29,NA,NA,NA,NA,Option for a further year,NA
Jordi Alba,Jordi Alba Ramos,1989-03-21,L'Hospitalet de Llobregat,34,1.7,Spain,Defender - Left-Back,left,InterStarDeporte,Inter Miami CF,2023-07-20,2024-12-31,NA,adidas,http://twitter.com/JordiAlba,http://www.facebook.com/jordialbaofficial,http://instagram.com/JordiAlbaOficial#,NA,5000000,70000000,2018-10-31,https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,2023-07-29,NA,NA,NA,NA,club option 1 year,NA
Sergi Roberto,Sergio Roberto Carnicer,1992-02-07,Reus,31,1.78,Spain,Defender - Right-Back,right,TACTIC GRUP - ...,FC Barcelona,2013-07-01,2024-06-30,2023-03-03,Nike,http://twitter.com/SergiRoberto10,NA,http://www.instagram.com/sergiroberto/,NA,5000000,60000000,2018-03-22,https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,2023-07-29,NA,NA,NA,NA,Option for a further year,NA
Sergio Busquets,Sergio Busquets Burgos,1988-07-16,Badia del Vallès,35,1.89,Spain,midfield - Defensive Midfield,right,TACTIC GRUP - ...,Inter Miami CF,2023-07-16,2025-12-31,NA,Nike,http://twitter.com/5sergiob,NA,http://www.instagram.com/5sergiob/,NA,5000000,80000000,2018-01-01,https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,2023-07-29,NA,NA,NA,NA,NA,NA
Pedri,NA,2002-11-25,Tegueste,20,1.74,Spain,midfield - Central Midfield,right,LEADERBROCK,FC Barcelona,2019-09-02,2026-06-30,2021-10-14,adidas,http://twitter.com/Pedri,http://m.facebook.com/pedrigonzalezofficial16,http://www.instagram.com/pedri,NA,100000000,100000000,2022-11-07,https://www.transfermarkt.com/pedri/profil/spieler/683840,2023-07-29,NA,NA,NA,Pedro González López,NA,NA
Gavi,NA,2004-08-05,Los Palacios y Villafranca,18,1.73,Spain,midfield - Central Midfield,right,De la Peña & ...,FC Barcelona,2021-07-01,2026-06-30,2022-09-14,Nike,NA,NA,http://www.instagram.com/pablogavi/,NA,90000000,90000000,2022-11-07,https://www.transfermarkt.com/gavi/profil/spieler/646740,2023-07-29,NA,NA,NA,Pablo Martín Páez Gavira,NA,NA
Frenkie de Jong,Frenkie de Jong,1997-05-12,Arkel,26,1.81,Netherlands,midfield - Central Midfield,right,HCM Sports ...,FC Barcelona,2019-07-01,2026-06-30,2020-10-20,Nike,http://twitter.com/DeJongFrenkie21,NA,http://www.instagram.com/frenkiedejong/,NA,75000000,90000000,2019-12-20,https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330,2023-07-29,NA,NA,NA,NA,NA,NA
Franck Kessié,Franck Yannick Kessié,1996-12-19,Ouragahio,26,1.83,Cote d'Ivoire Italy,midfield - Central Midfield,right,Ambition Group,FC Barcelona,2022-07-04,2026-06-30,NA,Nike,NA,NA,http://www.instagram.com/franckkessie/,NA,25000000,55000000,2021-06-03,https://www.transfermarkt.com/franck-kessie/profil/spieler/294808,2023-07-29,NA,NA,NA,NA,NA,NA
Pablo Torre,Pablo Torre Carral,2003-04-03,Soto de la Marina,20,1.73,Spain,midfield - Central Midfield,right,AC Talent,Girona FC,2023-07-18,2024-06-30,NA,adidas,NA,NA,http://instagram.com/pablotorree,NA,3000000,3000000,2022-03-21,https://www.transfermarkt.com/pablo-torre/profil/spieler/720038,2023-07-29,NA,FC Barcelona,"Jun 30, 2026",NA,NA,NA
Ansu Fati,Anssumane Fati Vieira,2002-10-31,Bissau,20,1.78,Spain Guinea-Bissau,Attack - Left Winger,right,Relatives,FC Barcelona,2020-09-23,2027-06-30,2021-10-21,Nike,http://twitter.com/ANSUFATI,http://www.facebook.com/Ansu-Fati-644147996364233,http://www.instagram.com/ansufati/,NA,35000000,80000000,2020-10-08,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,2023-07-29,NA,NA,NA,NA,club option 2 years,NA
Ferran Torres,Ferran Torres García,2000-02-29,Foios,23,1.84,Spain,Attack - Left Winger,right,LEADERBROCK,FC Barcelona,2022-01-01,2027-06-30,NA,adidas,http://twitter.com/FerranTorres20,NA,http://www.instagram.com/ferrantorres/,NA,30000000,50000000,2020-03-05,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,2023-07-29,NA,NA,NA,NA,NA,NA
Ousmane Dembélé,Masour Ousmane Dembélé,1997-05-15,Vernon,26,1.78,France,Attack - Right Winger,both,Relatives,FC Barcelona,2017-08-25,2024-06-30,2022-07-14,Nike,http://twitter.com/Dembouz,NA,http://www.instagram.com/o.dembele7/,NA,60000000,120000000,2019-02-28,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,2023-07-29,NA,NA,NA,NA,NA,NA
Raphinha,NA,1996-12-14,Porto Alegre,26,1.76,Brazil Italy,Attack - Right Winger,left,NA,FC Barcelona,2022-07-13,2027-06-30,NA,adidas,NA,http://www.facebook.com/RaphinhaReal,http://www.instagram.com/raphinha/,NA,60000000,60000000,2023-06-13,https://www.transfermarkt.com/raphinha/profil/spieler/411295,2023-07-29,NA,NA,NA,Raphael Dias Belloli,NA,NA
Robert Lewandowski,NA,1988-08-21,Warszawa,34,1.85,Poland,Attack - Centre-Forward,right,Gol International,FC Barcelona,2022-07-19,2026-06-30,NA,Nike,http://twitter.com/lewy_official,http://www.facebook.com/rl9official,http://www.instagram.com/_rl9/,NA,30000000,90000000,2018-04-04,https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253,2023-07-29,http://www.tiktok.com/@_rl9,NA,NA,NA,Option for a further year,NA
Jan Oblak,NA,1993-01-07,Škofja Loka,30,1.88,Slovenia,Goalkeeper,right,Miha Mlakar,Atlético de Madrid,2014-07-16,2028-06-30,2022-07-20,Puma,http://twitter.com/oblakjan,NA,http://www.instagram.com/oblakjan/,NA,35000000,100000000,2019-06-11,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,2023-07-29,NA,NA,NA,NA,NA,NA
Ivo Grbic,Ivo Grbić,1996-01-18,Split,27,1.95,Croatia,Goalkeeper,right,ROOF,Atlético de Madrid,2020-08-20,2024-06-30,NA,NA,NA,NA,http://www.instagram.com/ivogrbic13/,NA,3500000,7000000,2020-10-08,https://www.transfermarkt.com/ivo-grbic/profil/spieler/226073,2023-07-29,NA,NA,NA,NA,NA,NA
José María Giménez,José María Giménez de Vargas,1995-01-20,Toledo,28,1.85,Uruguay Spain,Defender - Centre-Back,right,VIDA 11,Atlético de Madrid,2013-04-25,2025-06-30,2021-08-12,Nike,http://twitter.com/josemagimenez13,http://www.facebook.com/JoseMariaGimenezOficial,http://www.instagram.com/josemariagimenez/,NA,35000000,70000000,2019-02-28,https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,2023-07-29,NA,NA,NA,NA,NA,NA
Mario Hermoso,Mario Hermoso Canseco,1995-06-18,Madrid,28,1.84,Spain,Defender - Centre-Back,left,Gesport Espizua SL,Atlético de Madrid,2019-07-18,2024-06-30,NA,NA,http://twitter.com/mariohermoso5,NA,http://www.instagram.com/mhermoso22/,NA,20000000,35000000,2021-03-19,https://www.transfermarkt.com/mario-hermoso/profil/spieler/281769,2023-07-29,NA,NA,NA,NA,NA,NA
Stefan Savic,Стефан Савић,1991-01-08,Mojkovac,32,1.87,Montenegro Serbia,Defender - Centre-Back,right,Zarko Pelicic,Atlético de Madrid,2015-07-20,2024-06-30,2021-08-11,NA,NA,NA,http://www.instagram.com/savkee15/,NA,6000000,40000000,2018-05-30,https://www.transfermarkt.com/stefan-savic/profil/spieler/107010,2023-07-29,NA,NA,NA,NA,NA,NA
Reinildo Mandava,Reinildo Isnard Mandava,1994-01-21,Beira,29,1.8,Mozambique,Defender - Left-Back,left,Blueprivate ...,Atlético de Madrid,2022-01-31,2025-06-30,NA,NA,NA,NA,http://www.instagram.com/reinildoo17official/,NA,25000000,25000000,2022-09-23,https://www.transfermarkt.com/reinildo-mandava/profil/spieler/240692,2023-07-29,NA,NA,NA,NA,NA,NA
Sergio Reguilón,Sergio Reguilón Rodríguez,1996-12-16,Madrid,26,1.78,Spain,Defender - Left-Back,left,Sports Invest UK ltd,Tottenham Hotspur,2020-09-19,2025-06-30,NA,NA,http://twitter.com/sergio_regui,NA,http://www.instagram.com/sergioregui/,NA,10000000,28000000,2020-10-13,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429,2023-07-29,NA,NA,NA,NA,NA,NA
Nahuel Molina,Nahuel Molina Lucero,1998-04-06,Embalse,25,1.75,Argentina,Defender - Right-Back,right,NA,Atlético de Madrid,2022-07-28,2027-06-30,NA,NA,NA,NA,http://www.instagram.com/nahuelmolina35/,NA,35000000,35000000,2023-06-13,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,2023-07-29,NA,NA,NA,NA,NA,NA
Matt Doherty,Matthew James Doherty,1992-01-16,Dublin,31,1.85,Ireland,Defender - Right-Back,right,Gestifute,Wolverhampton Wanderers,2023-07-20,2026-06-30,NA,Nike,http://twitter.com/mattdoherty20,NA,http://www.instagram.com/Mattdoherty20/,NA,5000000,20000000,2019-12-10,https://www.transfermarkt.com/matt-doherty/profil/spieler/171679,2023-07-29,NA,NA,NA,NA,NA,NA
Geoffrey Kondogbia,Geoffrey Edwin Kondogbia,1993-02-15,Nemours,30,1.88,Central African Republic France,midfield - Defensive Midfield,left,Sport Cover,Olympique Marseille,2023-07-01,2027-06-30,NA,NA,NA,http://www.facebook.com/kondogbia.geoffrey/frefts,http://www.instagram.com/kondogbia/,NA,14000000,30000000,2018-05-30,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189,2023-07-29,NA,NA,NA,NA,NA,NA
Axel Witsel,Axel Laurent Angel Lambert Witsel,1989-01-12,Liège,34,1.86,Belgium Martinique,midfield - Defensive Midfield,right,Nomi Sports,Atlético de Madrid,2022-07-06,2024-06-30,NA,Puma,http://twitter.com/axelwitsel28,http://www.facebook.com/axelwitsel28/?fref=ts,http://www.instagram.com/axelwitsel28,http://www.axelwitsel28.com/,5000000,40000000,2018-12-18,https://www.transfermarkt.com/axel-witsel/profil/spieler/35047,2023-07-29,NA,NA,NA,NA,NA,NA
Rodrigo de Paul,Rodrigo Javier de Paul,1994-05-24,Sarandí,29,1.8,Argentina Italy,midfield - Central Midfield,right,Augustin Jimenez,Atlético de Madrid,2021-07-12,2026-06-30,NA,adidas,http://twitter.com/rodridepaul,NA,http://www.instagram.com/rodridepaul/,NA,40000000,40000000,2021-07-16,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901,2023-07-29,NA,NA,NA,NA,NA,NA
Marcos Llorente,Marcos Llorente Moreno,1995-01-30,Madrid,28,1.84,Spain,midfield - Central Midfield,right,NA,Atlético de Madrid,2019-07-01,2027-06-30,2021-08-18,Nike,http://twitter.com/marcosllorente,NA,http://www.instagram.com/marcosllorente/,NA,35000000,80000000,2021-05-31,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,2023-07-29,NA,NA,NA,NA,NA,NA
Koke,NA,1992-01-08,Madrid,31,1.76,Spain,midfield - Central Midfield,right,Gesport Espizua SL,Atlético de Madrid,2011-01-01,2024-06-30,2017-05-23,adidas,http://twitter.com/Koke6,http://www.facebook.com/JorgeResurreccionKoke/?fref=ts,http://www.instagram.com/koke6/,NA,16000000,70000000,2018-01-01,https://www.transfermarkt.com/koke/profil/spieler/74229,2023-07-29,NA,NA,NA,Jorge Resurrección Merodio,NA,NA
Saúl Ñíguez,Saúl Ñíguez Esclapez,1994-11-21,Elche,28,1.84,Spain,midfield - Central Midfield,left,CAA Stellar,Atlético de Madrid,2013-07-01,2026-06-30,2017-07-01,Nike,http://twitter.com/saulniguez,http://www.facebook.com/saulniguez/,http://www.instagram.com/saulniguez/,http://www.saulniguez.es/,10000000,90000000,2018-10-31,https://www.transfermarkt.com/saul-niguez/profil/spieler/148928,2023-07-29,NA,NA,NA,NA,NA,NA
Pablo Barrios,Pablo Barrios Rivas,2003-06-15,Madrid,20,1.81,Spain,midfield - Central Midfield,right,CAA Stellar,Atlético de Madrid,2023-01-23,2028-06-30,2023-01-23,NA,NA,NA,http://www.instagram.com/pablobarrios7/,NA,5000000,5000000,2023-03-23,https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605,2023-07-29,NA,NA,NA,NA,NA,Atlético de Madrid UEFA U19
